cited,cites
W2962858109,W2962851944
W2259938310,W2096465161
W2259938310,W2166810745
W2259938310,W2141831115
W2259938310,W1964963969
W2259938310,W2117792884
W2259938310,W2171777347
W2259938310,W1979594866
W2259938310,W2141820415
W2570343428,W2117539524
W2570343428,W1861492603
W2570343428,W1536680647
W2570343428,W2163605009
W2570343428,W2194775991
W2570343428,W2097117768
W2570343428,W639708223
W2570343428,W2274287116
W1677182931,W2145287260
W1677182931,W2179352600
W1677182931,W2155893237
W1677182931,W2141125852
W1677182931,W1536680647
W1677182931,W2102605133
W1677182931,W2095705004
W1677182931,W1665214252
W1677182931,W2117539524
W1677182931,W1533861849
W1677182931,W2163605009
W1677182931,W2097117768
W2111211467,W2031611770
W2900569176,W4210702584
W2900569176,W2105924489
W2900569176,W2096173332
W2900569176,W2537623931
W2900569176,W2559588208
W2900569176,W2118258530
W2900569176,W1989277387
W2900569176,W2128601422
W2900569176,W2162151166
W3003668884,W2470646526
W3003668884,W3002539152
W2531409750,W2097117768
W2531409750,W1849277567
W2531409750,W2117539524
W2531409750,W2183341477
W2531409750,W2274287116
W2531409750,W2163605009
W2531409750,W2963285578
W2531409750,W2194775991
W2096093282,W2138122982
W2096093282,W2143485490
W2096093282,W2094201044
W2096093282,W4320301318
W2076063813,W2163922914
W2076063813,W2141125852
W2076063813,W2147768505
W2076063813,W2022508996
W2076063813,W2160815625
W2076063813,W2016053056
W2076063813,W2138913040
W2076063813,W1665214252
W2076063813,W2062118960
W2076063813,W2293634267
W2076063813,W2067713319
W2076063813,W2143612262
W2076063813,W2146502635
W2076063813,W2097117768
W2076063813,W2102605133
W2076063813,W3149745985
W2076063813,W1849277567
W2076063813,W2163605009
W2076063813,W2341171179
W2076063813,W2156387975
W2061438946,W2963103847
W2061438946,W2154943049
W2088833470,W2128769815
W2088833470,W1973831267
W2088833470,W2086865963
W2088833470,W2136879569
W2088833470,W2072970694
W2088833470,W2101120467
W2088833470,W2124351063
W2139168999,W1528251861
W2139168999,W1511920456
W2614081736,W1969042907
W2614081736,W2133870991
W2614081736,W2111647009
W2614081736,W2111211467
W2614081736,W2026062398
W2149992227,W2171777347
W2149992227,W2119180969
W4248872320,W2147874841
W2152239989,W2107018762
W2152239989,W1973628995
W2302501749,W2302501749
W2302501749,W4242729757
W2302501749,W2739999456
W2737217596,W2037496050
W2737217596,W2143362587
W2737217596,W2565282363
W2737217596,W1665009454
W2021341670,W2171777347
W2021341670,W2161289668
W2949177718,W2794480084
W2949177718,W2169456326
W2949177718,W2794521141
W2949177718,W2014677321
W2949177718,W2179438025
W2949177718,W2032518018
W2949177718,W2747877289
W2949177718,W2102619694
W2949177718,W2341539131
W2949177718,W2069089843
W2949177718,W2894687190
W2949177718,W2739492614
W2949177718,W2817838603
W2949177718,W2951506174
W2949177718,W2997280954
W2949177718,W2766437506
W2114843025,W2149441684
W2114843025,W2107633226
W2114843025,W2123696077
W2114843025,W2096283457
W2114843025,W2262414037
W2114843025,W2275877493
W2114843025,W2043398720
W2114843025,W2157852151
W2114843025,W2021341670
W2257979135,W2145339207
W2257979135,W2919115771
W2257979135,W2126316555
W2257979135,W2168231600
W2257979135,W2163605009
W1849277567,W2141125852
W1849277567,W2102605133
W1849277567,W2031342017
W1849277567,W2962851944
W1849277567,W2163605009
