cited,cites
W2084530896,W2123587734
W2084530896,W2083919264
W2084530896,W2142289369
W2084530896,W1976759885
W2084530896,W2121981479
W2084530896,W2105827100
W2084530896,W2103317434
W2084530896,W2002311592
W2084530896,W2103948957
W2084530896,W2110559753
W2084530896,W2274815048
W2084530896,W2099784075
W2084530896,W2006970256
W2144288821,W2118233996
W2144288821,W2131288855
W2129638195,W2129131372
W2129638195,W4250955649
W2129638195,W2145096794
W2128881154,W2128158076
W2150667092,W2118421222
W2150667092,W2148726987
W2150667092,W4235770099
W2150667092,W2138790588
W2150667092,W2052644075
W1976637107,W2166667242
W2144369278,W2071707134
W2081870935,W77753788
W2163808566,W2102544846
W2163808566,W2177274842
W2163808566,W2163352848
W2108169091,W2098126593
W2108169091,W2217809488
W2108169091,W2058401000
W2108169091,W2158489424
W2108169091,W2157752701
W2015688756,W2131288855
W2015688756,W2147993766
W2153663612,W2160547390
W2153663612,W2078204800
W2153663612,W2128659236
W2121604817,W2097255042
W2121604817,W2128985829
W2121604817,W2146264532
W2121604817,W2123106337
W2121604817,W2130410032
W2107554012,W2138825607
W2127141656,W2147880316
W2127141656,W2079735306
W1541774929,W2157641482
W1989763926,W2146272101
W1989763926,W2164385948
W1989763926,W4213284804
W1989763926,W2153610778
W1989763926,W1902610065
W2138621090,W2121947440
W2138621090,W2001141328
W2138621090,W2053186076
W2138621090,W2165874743
W2110559753,W4233283252
W2110559753,W2008157089
W2110559753,W2084530896
W2110559753,W2069985294
W2110559753,W2105827100
W2105850748,W1888172398
W2105850748,W2130403046
W2105850748,W2107396783
W2105850748,W2165744313
W2105850748,W2099175737
W2105850748,W2146890818
W2105850748,W2160643434
W2131350133,W2144081223
W2131350133,W2074986801
W2138664283,W2599076725
W2161633633,W2098126593
W2161633633,W2157752701
W2161633633,W2048755332
W2161633633,W2162530578
W2125121305,W2146396346
W2125121305,W2121677860
W2137015675,W2132926880
W2137015675,W2127774996
W2137015675,W2144362290
W2543580944,W2169245194
W2543580944,W2109364787
W2543580944,W2152195021
W2543580944,W2125213524
W2599076725,W2142960568
W2163341755,W255996521
W2163341755,W2109184569
W2152885278,W2170024099
W2152885278,W2096525273
W2059796825,W2142960568
W2275737843,W2142960568
W2275737843,W2599076725
W1985749074,W2099556653
W2167928095,W2582377764
W2110335151,W2161444534
W2110335151,W2146058063
W2110335151,W2146396346
W2169667133,W2141647475
W2169667133,W2089402107
W2169667133,W2059813301
W2119799171,W2102234847
W2110835349,W2094939159
W2110835349,W2161444534
W2110835349,W2153432740
W2058998445,W2037511922
W2010348352,W2127625785
W2010348352,W2048385562
W2010348352,W2153610778
W2160643434,W2148606196
W2160643434,W2107396783
W2160643434,W2146890818
W2160643434,W2165744313
W2160643434,W2099175737
W2160643434,W2105850748
W2090330784,W2044579390
W2035503835,W2130479394
W2035503835,W2144998676
W2132914434,W2097308346
W2132914434,W2121947440
W2132914434,W2165874743
W2127271355,W4250955649
W2127271355,W2129638195
W2127271355,W2063978378
W2127271355,W2115706991
W2127271355,W2128659236
W2127271355,W2078204800
W2127271355,W2129131372
W2127271355,W2145096794
W2127271355,W2116148865
W2115217290,W2113168655
W2115217290,W2141125801
W2115217290,W2068719957
W2115217290,W1995031937
W2115217290,W2104057213
W2115217290,W2038702827
W2143381319,W2125899728
W2143381319,W2098907614
W2143381319,W2126105956
W2143381319,W2165171393
W2056370875,W2153663612
W2135894974,W2138790588
W3022423927,W2142960568
W2155298532,W4230920194
W2155298532,W2118421222
W2088321686,W2134233006
W2088321686,W2072923279
W2110035718,W2107356656
W2110035718,W2134036574
W2143560894,W2152195021
W2143560894,W2287814884
W2126840412,W2135526934
W2123060905,W2165674132
W2123060905,W2133579817
W2101675075,W2145096794
W2101675075,W4250955649
W2101675075,W2115706991
W2101675075,W2164452299
W2165232124,W2137813581
W2165232124,W2121947440
W2015416439,W1509466986
W2015416439,W1968931043
W2015416439,W2158610627
W2015416439,W2168602111
W2015416439,W2128016314
W2015416439,W2164683872
W2136922540,W2149662495
W2136922540,W2136451344
W2125092464,W2121512231
W2125092464,W2158489424
W2125092464,W2098126593
W2125092464,W2161339576
W2125092464,W2141042406
W2112316706,W2107165713
W2165935007,W2122838852
W1972432506,W2104718076
W3121953277,W2099901798
W3121953277,W2085525886
W3121953277,W2113601822
W3121953277,W2171405751
W3121953277,W2040452926
W2106824077,W2150345533
W2130517250,W2102746137
W2158217645,W2122683221
W2158217645,W2130410032
W2187089797,W2053186076
W2187089797,W2001141328
W2187089797,W2100495367
W2187089797,W2139823104
W2038702827,W2068719957
W2038702827,W2113168655
W2038702827,W1995031937
W2038702827,W2115217290
W2038702827,W2104057213
W1966327575,W2060705109
W1966327575,W2018045523
W1966327575,W2096863518
W1966327575,W2159675211
W1966327575,W2122683221
W1966327575,W2103017472
W2114570899,W2161222316
W2114570899,W2108244474
W2114570899,W2107277218
W2067404301,W2142225512
W2131681506,W2124637492
W2131681506,W2095293504
W2131681506,W2047940964
W2131681506,W2015953751
W2131681506,W2151936673
W2131681506,W2089458547
W2131681506,W2164928285
W2131681506,W2128366083
W2131681506,W2120043163
W2173213060,W2122465391
W2173213060,W2119565742
W1966078827,W2123768693
W1966078827,W2171268876
W1966078827,W2059013803
W1966078827,W2150981663
W2080752012,W2140946052
W2080752012,W2065566217
W2080752012,W2169805130
W2080752012,W2013947447
W2133465414,W2103017472
W2133465414,W2122683221
W2133465414,W2171030481
