Node ID,Year 0 (Deviation Score), Year 0 (Is Anomaly),Year 1 (Deviation Score), Year 1 (Is Anomaly),Year 2 (Deviation Score), Year 2 (Is Anomaly),Year 3 (Deviation Score), Year 3 (Is Anomaly),Year 4 (Deviation Score), Year 4 (Is Anomaly),Mean Deviation Score,Anomaly Status Churn
1889,0.1003424411950012,0,0.2288746873382479,0,0.11123646679334342,0,0.1003424411950012,0,0.10034244057411949,0,0.12822769541914264,0
1890,0.11518472504879658,0,0.44849165179766715,1,0.4147853816393763,1,0.11518472654279321,0,0.11518472504879658,0,0.24176624201548597,1
1891,0.11343969082615028,0,0.41121963535745937,1,0.12707834970206022,0,0.11341028963215649,0,0.11340440805846204,0,0.1757104747152577,1
1892,0.07502681016921997,0,0.13980710180476308,0,0.13980986395229897,0,0.09696484093243878,0,0.07501187874004245,0,0.10532409911975264,0
1893,0.08444670277337234,0,0.08444895284871261,0,0.08399890611569087,0,0.08444614273806413,0,0.08444697844485442,0,0.08435753658413887,0
1894,0.093561800972869,0,0.13274017628282309,0,0.13274178576345244,0,0.10404122537390019,0,0.09351952653378248,0,0.11132090298536546,0
1895,0.03954341386755308,0,1.5119872344657779,1,0.13132481059680381,0,0.039544797192017235,0,0.0395446897794803,0,0.35238898918032646,1
1896,0.09901122655719519,0,0.47784419637173414,1,0.36501938694467145,1,0.09901122950638334,0,0.09901122547065218,0,0.22797945297012726,1
1897,0.0787246289352576,0,0.13108989922329783,0,0.13108989984417954,0,0.08923526449749868,0,0.07872462769349416,0,0.10177286403874557,0
1898,0.09901135756323735,0,0.06539884283362578,0,0.7006563278846443,1,0.09901135771845777,0,0.09901135259618361,0,0.21261784771922976,1
1899,0.11858213778274755,0,0.163637763975809,0,0.15096402478714785,0,0.11858213917973141,0,0.11858213266047339,0,0.13406963967718183,0
1900,0.09901153047879536,0,0.09901150455698371,0,0.09901150176301599,0,0.09901153125489752,0,0.09901152566696207,0,0.09901151874413093,0
1901,0.07557011457780997,0,0.07556613037983577,0,0.0291979822019736,1,0.0755711526920398,0,0.07556965512533982,0,0.06629500699539978,1
1902,0.4544254696617524,1,0.13208961548904577,0,0.13209184274698296,0,0.45327332864205044,1,0.4673030593742927,1,0.32783666318282484,1
1903,0.14184247834297517,0,0.3185151567061742,0,0.31891340017318726,0,0.169713546638377,0,0.14074105536565185,0,0.2179451274452731,0
1904,0.33874564804136753,1,0.37695606984198093,1,2.97078095174705,1,0.33873840731879074,1,0.33874844821790856,1,0.8727939050334197,0
